Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
2-Ethylphenol	-1.9801656062633373	7.448070316362627	5.201894558555035	-4.62241682162847	0.43364805266571976	7.202064623345605	-5.740694531274381	-1.383890519803331	0.03200328567644011	-1.6194957110472272	5.919041855986924	-3.4127491868754842	-2.7067820838471075	-0.9788828180161364	-3.790431064913927	5.594013314545969
2-Hydroxy-1-naphthaldehyde	-2.7684433518759106	13.827242426043428	-8.012418845824323	-11.687185178624082	9.56709578293574	-15.137330791030871	1.579257990602721	17.065567437198457	3.1429732856252244	-2.5451924318215644	-0.6971829933869366	7.558189252416611	-0.3268821976897651	-0.25927364191685426	4.389723047327651	4.294905416199549
2-Methoxyphenol	122.47779496853173	-0.8732542585530673	1.9028908841529928	-0.4787668482584761	0.5951017726160035	0.6556819316204217	1.40658999824672	0.369437724829521	0.17347324056988775	-0.0007164427854291126	0.8327720016326121	0.8393736844030214	0.19112014686751622	0.0956871035176862	-0.04363249314266788	0.07537398448489238
2-naphthylamine	-1.5426531054866754	12.904844183414012	1.3746108456989148	-4.113998419995901	-15.147310345026552	-3.498005659497157	3.1703886003481614	7.039426308443705	-20.935546215765513	-7.836291532174728	-2.940592785542106	-0.5246001993557888	-3.930376797596416	4.255986540074167	8.256761265262636	4.564937951874652
2-napthol	-1.9261647991474062	18.80958161358649	-1.596260486242386	-12.498334144085486	0.948344657779981	4.014854695408543	3.8522061230064955	-9.393037568204804	7.458914229931831	4.639806890760252	-8.928086091794865	-1.1463958315302916	10.448489617233886	-7.5677891539941875	5.000312605534471	-1.9712953669277664
2-Propylphenol	-2.820753244934924	14.281982762282995	9.7901850726795	-11.032534302508868	4.976600684883609	10.199189625058237	-10.445595325631812	-2.6084088752882364	-1.840833793380501	-0.9335785518956881	5.963151927354964	0.2646620920821415	-8.402119015930142	-2.4563681760726572	-7.592379324456701	4.8455527856441085
3-Chloro-bicyclo-dimethyl_phosphate	-4.1135981247158515	7.8268306196352375	24.037056944603197	-0.6540583191374697	-7.175830747144805	4.727810846344326	-2.543669338446614	6.591661151873066	-10.841643223066336	12.044732638141834	9.421303153958796	2.7624108329920753	2.2405930109998504	-7.921904746948376	-6.032594089434605	-10.88311145712857
3-chlorophenol	-1.6168271445385907	10.05611472796546	-1.3234082856859677	-8.136317639574688	2.449343632554225	-1.5943430992609888	-8.411723302784502	-9.85478753938413	0.2017219970093132	9.052889227806522	0.04667821300883978	2.029898590694337	-12.636637748065652	-4.877043511926037	0.9751115912521824	3.3731055754489594
3-nitrophenol	0.2949160995510954	17.145468712910038	-18.52237728233613	0.6521562895960061	22.674410740611624	-18.18227398445969	-0.015698239766965747	7.244539358358142	-8.707002204965576	7.697031871753286	6.217214971289288	-0.7980646888612609	1.447168583701554	1.2226003499198346	-2.064496817610504	-7.071045773990633
4-chlorophenol	-1.5992572199272206	5.642814040312091	7.5370128827258265	2.6268482083370763	-6.57168372864339	-2.6725213769425773	3.2113740534309847	7.6308717489329645	-7.3290650329871125	-5.600351448156153	-11.098025404747277	-3.9554816846283583	-6.131014307902343	-3.7227889293902816	1.1377220990032384	-10.391028552094168
